level,feature_id,lgd_code,name,stations,cities,pct_area_within_50km,area_km2
district,247,247,Mon,0,0,42.0,2177
district,615,615,Longleng,0,0,38.5,567
district,246,246,Mokokchung,0,0,28.7,1615
district,290,290,Jorhat,0,0,54.0,2050
district,251,251,Zunheboto,0,0,38.6,1568
district,757,757,Tseminyu,0,0,100.0,283
district,764,764,Niuland,0,0,100.0,82
district,758,758,Chumoukedima,0,0,95.8,699
district,250,250,Wokha,0,0,27.2,1634
district,706,706,Majuli,0,0,100.0,1014
district,295,295,Lakhimpur,0,0,85.7,2992
district,718,718,Kamle,0,0,0.0,1401
district,241,241,Upper Subansiri,0,0,0.0,6394
district,243,243,West Siang,0,0,0.0,1639
district,719,719,Lower Siang,0,0,0.0,1811
district,724,724,Leparada,0,0,0.0,768
district,232,232,East Siang,0,0,0.0,1738
district,679,679,Siang,0,0,0.0,3089
district,240,240,Upper Siang,0,0,0.0,6702
district,725,725,Shi Yomi,0,0,0.0,2617
district,677,677,Kra Daadi,0,0,0.0,1989
district,233,233,Kurung Kumey,0,0,0.0,4443
district,238,238,Tawang,0,0,0.0,2456
district,280,280,Barpeta,0,0,48.9,1877
district,281,281,Bongaigaon,0,0,0.0,972
district,612,612,Chirang,0,0,0.0,2037
district,294,294,Kokrajhar,0,0,0.0,3112
district,656,656,North Garo Hills,0,0,0.0,1249
district,287,287,Goalpara,0,0,0.1,1918
district,291,291,Kamrup,0,0,90.2,3115
district,616,616,Baksa,0,0,83.1,1610
district,739,739,Bajali,0,0,100.0,356
district,756,756,Tamulpur,0,0,100.0,861
district,276,276,Ri Bhoi,0,0,100.0,2368
district,710,710,West Karbi Anglong,0,0,41.5,3071
district,296,296,Marigaon,0,0,100.0,1542
district,283,283,Darrang,0,0,83.7,1538
district,617,617,Udalguri,0,0,25.8,2064
district,242,242,West Kameng,0,0,0.0,4917
district,301,301,Sonitpur,0,0,49.6,2777
district,723,723,Pakke Kessang,0,0,22.2,2028
district,231,231,East Kameng,0,0,1.8,4292
