State/UT,Decade,Type,Old Name,New Name,
Maharashtra,1951-1961,Full Change,East Khandesh,Jalgaon,
Maharashtra,1951-1961,Suffix removed,Satara North,Satara,
Maharashtra,1951-1961,Full Change,Satara South,Sangli,
Maharashtra,1961-1971,Full Change,Chanda,Chandrapur,
Maharashtra,1971-1981,Full Change,Bhir,Bid,
Maharashtra,1971-1981,Full Change,Kolaba,Raigarh,
Maharashtra,1971-1981,Nativization,Poona,Pune,
Maharashtra,1971-1981,Nativization,Dhulia,Dhule,
Maharashtra,2021-2024,Full Change,Aurangabad,Sambhaji Nagar,
Maharashtra,2021-2024,Full Change,Osmanabad,Dharashiv,
Manipur,1981-1991,Full Change,Manipur North,Senapati,
Manipur,1981-1991,Full Change,Manipur South,Churachandpur,
Manipur,1981-1991,Full Change,Manipur East,Ukhrul,
Manipur,1981-1991,Full Change,Manipur West,Tamenglong,
Manipur,1981-1991,Full Change,Tengnoupal,Chandel,
Mizoram,1951-1961,Full Change,Lushai Hills,Mizo Hills,
Mizoram,1961-1971,Full Change,Mizo Hills,Mizoram,
Nagaland,1951-1961,Full Change,Naga Hills,Kohima,
Odisha,1951-1961,Full Change,Phulbani,Baudh Khondmals,
Odisha,1971-1981,Full Change,Baudh Khondmals,Phulabani,
Odisha,1971-1981,Full Change,Balasore,Baleshwar,
Odisha,2001-2011,Full Change,Sonapur,Subarnapur,
Puducherry,2001-2011,Full Change,Pondicherry,Puducherry,
Punjab,1971-1981,De-Anglicization,Jullundur,Jalandhar,
Punjab,1971-1981,Full Change,Ropar,Rupnagar,
Punjab,2001-2011,Full Change,Nawanshahr,Shahid Bhagat Singh Nagar,
Punjab,2011-2021,Shortened,Sahibzada Ajit Singh Nagar,SAS Nagar,
Punjab,2011-2021,Prefix and Suffix added,Muktsar,Sri Muktsar Sahib,
Rajasthan,1961-1971,Nativization,Chitorgarh,Chittaurgarh,
Sikkim,2011-2021,Full Change,East,Gangtok,
Sikkim,2011-2021,Full Change,West,Gyalshing,
Sikkim,2011-2021,Full Change,North,Mangan,
Sikkim,2011-2021,Full Change,South,Namchi,
Tamil Nadu,1951-1961,Full Change,Tanjore,Thanjavur,
Tamil Nadu,1961-1971,Nativization,Chingleput,Chengalpattu,
Tamil Nadu,1961-1971,Nativization,Kanyakumari,Kanniyakumari,
Tamil Nadu,1981-1991,Suffix added,Chengalpattu,Chengalpattu MGR,
Tamil Nadu,1981-1991,Suffix added,North Arcot,North Arcot Ambedkar,
Tamil Nadu,1981-1991,Suffix added,Tirunelveli,Tirunelveli Kattabomman,
Tamil Nadu,1991-2001,Full Change,North Arcot Ambedkar,Vellore,
Tamil Nadu,1991-2001,Suffix removed,Tiruvannamalai Sambuvarayar,Tiruvanamalai,
Tamil Nadu,1991-2001,Full Change,Pasumpon Muthuramalinga Thevar,Sivaganga,
Tamil Nadu,1991-2001,Full Change,Kamarajar,Virudhunagar,
Tamil Nadu,1991-2001,Full Change,Chidambaranar,Toothukudi,
Tamil Nadu,1991-2001,Suffix removed,Tirunelveli Kattabomman,Tirunelveli,
Tamil Nadu,1991-2001,Suffix removed,Dindigul Anna,Dindigul,
Tamil Nadu,1991-2001,Full Change,Periyar,Erode,
Tamil Nadu,1991-2001,Prefix,Nilgiri,The Nilgiris,
Tamil Nadu,1991-2001,Full Change,Madras,Chennai,
Telangana,2011-2021,Suffix removed,Warangal Rural,Warangal,
Telangana,2011-2021,Full Change,Warangal Urban,Hanumakonda,
Uttar Pradesh,1951-1961,Full Change,Banares,Varanasi,
Uttar Pradesh,2001-2011,Full Change,Hathras,Mahamaya Nagar,
Uttar Pradesh,2011-2021,Full Change,Allahabad,Prayagraj,
Uttar Pradesh,2011-2021,Full Change,Mahamaya Nagar,Hathras,
Uttar Pradesh,2011-2021,Full Change,Faizabad,Ayodhya,
Uttar Pradesh,2011-2021,Full Change,Jyotiba Phule Nagar,Amroha,
Uttar Pradesh,2011-2021,Full Change,Kanshiram Nagar,Kasganj,
Uttar Pradesh,2011-2021,Full Change,Sant Ravidas Nagar (Bhadohi),Bhadohi,
