district_id,district_name,state_name,year,min,max,mean,sum,std,median,valid_pixel_count,valid_pixel_share,log1p_mean,log1p_median
503,Amravati,Maharashtra,2012,0.0,28.371109008789062,0.32787369732292143,4314.162109375,0.9045983772186019,0.17721843719482422,13158.0,,0.2835789390936838,0.16315439915975366
480,Amreli,Gujarat,2012,0.02885831892490387,47.991085052490234,0.4178745373455073,3566.97705078125,1.1979867164007605,0.22724169492721558,8536.0,,0.3491589455956903,0.2047691267114653
49,Amritsar,Punjab,2012,0.23105795681476593,32.73565673828125,1.9437987346442247,6091.865234375,2.8695944263081623,1.1390302181243896,3134.0,,1.0797008339387084,0.7603525572208588
482,Anand,Gujarat,2012,0.0,17.927030563354492,0.7728543222835096,2447.629638671875,1.0525211750779784,0.5401522517204285,3167.0,,0.5725908591836733,0.43188127629226514
553,Anantapur,Andhra Pradesh,2012,0.0,32.403560638427734,0.2773328466085465,5539.1689453125,0.8293568164906631,0.12698301672935486,19973.0,,0.24477419039284298,0.1195441654936546
14,Anantnag,Jammu & Kashmir,2012,0.057448193430900574,10.035819053649902,0.2863812955471838,1086.8170166015625,0.4379092150104005,0.17762796580791473,3795.0,,0.2518330791838581,0.1635022168490067
260,Anjaw,Arunanchal Pradesh,2012,-0.023918135091662407,0.46608594059944153,0.0906077901141218,670.7694702148438,0.04402919517327219,0.09445618093013763,7403.0,,0.08673514644609748,0.0902576014827913
384,Anugul,Odisha,2012,0.0,75.7031478881836,0.7576353385302599,5189.04443359375,2.9199135149448643,0.19776500761508942,6849.0,,0.5639693480139599,0.18045732654195332
461,Anuppur,Madhya Pradesh,2012,0.0,75.55802917480469,0.42939053708101405,1774.24169921875,1.7228571364594922,0.14420385658740997,4132.0,,0.3572481555782557,0.1347090734001943
209,Araria,Bihar,2012,0.0,4.022337913513184,0.19925869886545222,623.48046875,0.26593656164066093,0.13997770845890045,3129.0,,0.18170361496176515,0.1310087082318018
616,Ariyalur,Tamil Nadu,2012,0.0,16.531278610229492,0.46680238193139095,931.270751953125,1.0343506721830822,0.2598116099834442,1995.0,,0.38308478111021865,0.23096219389861686
459,Ashoknagar,Madhya Pradesh,2012,0.035649001598358154,19.37039566040039,0.2661726813274373,1391.0184326171875,0.6138733487367335,0.1854236125946045,5226.0,,0.23599871357325988,0.17010018968949503
162,Auraiya,Uttar Pradesh,2012,0.09818089008331299,121.75747680664062,0.9242136443564466,2085.9501953125,4.154300701381047,0.4656425714492798,2257.0,,0.6545173878441392,0.38229376162918816
235,Aurangabad,Bihar,2012,0.0,14.333473205566406,0.27859916267814216,1014.1009521484375,0.5622980723609291,0.1777985394001007,3640.0,,0.24576507447630513,0.1636470514189727
